session_id,timestamp,heart_rate,hr_zone,activity_type,effort_pct,recovery_score,stress_index,session_minute,moment_type,assigned_verse_id,translation
S002,00:13:00,168,4,cycling,0.84,61,4.1,13,breakthrough_wall,PHI.4.13,ESV
S002,00:15:00,180,5,cycling,0.95,61,5.2,15,peak_effort,ISA.40.31,ESV
S002,00:17:00,138,2,cycling,0.55,61,2.3,17,recovery_window,PSA.46.10,ESV
S002,00:19:00,158,4,cycling,0.77,61,3.8,19,finishing_strong,GAL.6.9,ESV
S002,00:21:00,172,4,cycling,0.87,61,4.4,21,finishing_strong,GAL.6.9,ESV
S002,00:23:00,128,2,cycling,0.48,61,2.0,23,recovery_window,LAM.3.22,ESV
S002,00:25:00,80,1,cycling,0.18,61,1.4,25,post_workout,1CO.9.24,ESV
S003,00:00:00,72,1,weightlifting,0.15,84,1.3,0,pre_workout,PSA.118.24,KJV
S003,00:00:45,88,1,weightlifting,0.22,84,1.5,0,warmup,PRO.3.5,KJV
S003,00:01:55,141,3,weightlifting,0.64,84,3.3,1,working_set,2TI.1.7,KJV
S003,00:03:10,158,4,weightlifting,0.81,84,4.2,3,final_rep,PHI.4.13,KJV
S003,00:04:30,102,1,weightlifting,0.31,84,1.8,4,rest_set,PSA.46.10,KJV
S003,00:05:45,145,3,weightlifting,0.66,84,3.5,5,working_set,2TI.1.7,KJV
S003,00:07:00,162,4,weightlifting,0.82,84,4.4,7,final_rep,2CO.12.9,KJV
S003,00:08:15,98,1,weightlifting,0.28,84,1.6,8,rest_set,LAM.3.22,KJV
S003,00:09:30,148,3,weightlifting,0.68,84,3.6,9,working_set,2TI.1.7,KJV
S003,00:10:45,165,4,weightlifting,0.84,84,4.5,10,final_rep,PHI.4.13,KJV
S003,00:12:00,105,1,weightlifting,0.33,84,1.9,12,rest_set,PSA.46.10,KJV
S003,00:13:15,152,3,weightlifting,0.71,84,3.8,13,working_set,2TI.1.7,KJV
S003,00:14:30,168,4,weightlifting,0.86,84,4.7,14,final_rep,2CO.12.9,KJV
S003,00:15:45,78,1,weightlifting,0.16,84,1.2,15,post_workout,1CO.9.24,KJV
S004,00:00:00,65,1,hiit,0.11,55,1.0,0,pre_workout,PSA.118.24,NIV
S004,00:02:00,172,4,hiit,0.87,55,4.6,2,early_push,JOS.1.9,NIV
S004,00:03:00,121,2,hiit,0.44,55,2.4,3,active_recovery,LAM.3.22,NIV
S004,00:05:00,175,5,hiit,0.89,55,4.8,5,peak_effort,ISA.40.31,NIV
S004,00:06:00,118,2,hiit,0.42,55,2.2,6,active_recovery,LAM.3.22,NIV
S004,00:08:00,180,5,hiit,0.93,55,5.1,8,peak_effort,ROM.8.37,NIV
S004,00:09:00,125,2,hiit,0.46,55,2.5,9,active_recovery,PSA.46.10,NIV
S004,00:11:00,182,5,hiit,0.94,55,5.3,11,peak_effort,ISA.40.31,NIV
S004,00:12:00,122,2,hiit,0.45,55,2.3,12,active_recovery,LAM.3.22,NIV
S004,00:14:00,185,5,hiit,0.96,55,5.5,14,peak_effort,ROM.8.37,NIV
S004,00:15:00,121,2,hiit,0.44,55,2.4,15,active_recovery,LAM.3.22,NIV
S004,00:17:00,188,5,hiit,0.97,55,5.8,17,redline,ISA.41.10,NIV
S004,00:18:00,119,2,hiit,0.43,55,2.2,18,active_recovery,PSA.46.10,NIV
S004,00:20:00,165,4,hiit,0.82,55,4.4,20,finishing_strong,GAL.6.9,NIV
S004,00:21:00,80,1,hiit,0.19,55,1.4,21,post_workout,1CO.9.24,NIV
S005,00:00:00,71,1,running,0.13,91,1.2,0,pre_workout,PSA.118.24,NLT
S005,00:03:00,148,3,running,0.66,91,2.9,3,steady_state,PSA.23.4,NLT
S005,00:05:00,158,4,running,0.77,91,3.6,5,early_push,JOS.1.9,NLT
S005,00:07:00,165,4,running,0.83,91,4.0,7,breakthrough_wall,PHI.4.13,NLT
S005,00:09:00,172,5,running,0.90,91,4.4,9,peak_effort,ISA.40.31,NLT
S005,00:11:00,135,2,running,0.53,91,2.2,11,recovery_window,PSA.46.10,NLT
S005,00:13:00,155,4,running,0.74,91,3.5,13,steady_state,PRO.3.5,NLT
S005,00:15:00,168,4,running,0.85,91,4.1,15,breakthrough_wall,PHI.4.13,NLT
S005,00:17:00,175,5,running,0.91,91,4.6,17,peak_effort,ROM.8.37,NLT
S005,00:19:00,130,2,running,0.50,91,2.0,19,recovery_window,LAM.3.22,NLT
S005,00:21:00,162,4,running,0.80,91,3.9,21,finishing_strong,GAL.6.9,NLT
S005,00:23:00,170,4,running,0.87,91,4.3,23,finishing_strong,GAL.6.9,NLT
S005,00:25:00,178,5,running,0.93,91,4.8,25,peak_effort,ISA.40.31,NLT
S005,00:28:00,142,3,running,0.62,91,2.7,28,steady_state,PSA.23.4,NLT
S005,00:30:00,77,1,running,0.17,91,1.3,30,post_workout,1CO.9.24,NLT
